R,G,B,Class
203,187,167,o
203,188,167,o
204,189,168,o
204,189,169,o
204,189,169,o
204,189,170,o
205,190,170,o
205,189,171,o
203,187,166,o
203,188,167,o
203,188,167,o
204,189,168,o
204,189,169,o
204,189,169,o
204,189,170,o
204,189,170,o
203,187,166,o
203,188,166,o
203,188,167,o
203,189,168,o
204,189,168,o
204,189,169,o
204,189,169,o
204,189,170,o
203,187,166,o
203,188,166,o
203,188,167,o
203,188,168,o
203,189,168,o
203,189,169,o
204,189,169,o
204,189,170,o
208,196,176,o
208,195,175,o
208,194,173,o
208,193,171,o
209,192,170,o
209,191,168,o
210,190,166,o
211,189,164,o
211,188,162,o
212,185,159,o
212,178,150,o
206,152,124,o
200,123,96,o
200,118,92,o
200,117,91,o
200,117,92,o
201,119,93,o
202,120,95,o
203,121,96,o
204,122,97,o
205,123,98,o
206,124,99,o
206,125,99,o
206,125,99,o
206,126,100,o
207,126,100,o
207,126,100,o
207,126,100,o
206,126,99,o
206,126,99,o
205,125,98,o
204,125,97,o
204,124,97,o
203,123,96,o
202,122,95,o
201,121,95,o
200,120,95,o
200,120,95,o
200,119,95,o
199,119,96,o
198,119,97,o
197,122,101,o
197,134,116,o
204,164,145,o
209,183,163,o
209,188,167,o
208,189,168,o
207,190,169,o
207,191,171,o
206,192,172,o
206,192,173,o
205,193,174,o
205,193,174,o
204,192,174,o
204,192,174,o
204,191,174,o
205,192,175,o
205,191,174,o
204,189,172,o
203,187,170,o
202,187,168,o
202,187,168,o
203,187,168,o
203,187,168,o
203,187,167,o
203,186,167,o
203,186,167,o
203,186,167,o
204,187,168,o
204,187,168,o
205,188,168,o
205,188,169,o
206,188,169,o
207,188,168,o
207,187,167,o
207,187,167,o
208,187,167,o
209,187,167,o
210,187,166,o
209,182,160,o
208,171,146,o
202,143,116,o
200,124,98,o
201,120,94,o
202,119,94,o
203,118,93,o
203,118,93,o
203,117,92,o
204,116,91,o
204,116,91,o
205,116,91,o
205,115,91,o
206,115,91,o
206,115,90,o
205,114,90,o
205,114,91,o
204,114,91,o
204,114,91,o
203,114,92,o
202,115,93,o
201,115,94,o
200,116,95,o
199,117,96,o
196,120,100,o
194,127,106,o
195,148,125,o
201,174,152,o
204,181,161,o
205,183,163,o
205,184,164,o
205,184,164,o
205,185,165,o
205,186,166,o
205,186,166,o
205,186,167,o
205,187,167,o
205,187,168,o
205,188,168,o
205,188,168,o
204,187,167,o
